CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year,lag_1w,lag_2w,lag_3w,lag_4w,lag_8w,roll_4w_mean,roll_8w_mean,roll_4w_std
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,3.0,2022-09-12,2022-09-18,2022,9,37,1.0,1.0,1.0,2.0,,1.25,1.25,0.5
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-10-24,2022-10-30,2022,10,43,3.0,1.0,1.0,1.0,,1.5,1.6,1.0
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-10-31,2022-11-06,2022,10,44,2.0,3.0,1.0,1.0,,1.75,1.6666666666666667,0.9574271077563381
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-11-14,2022-11-20,2022,11,46,2.0,2.0,3.0,1.0,,2.0,1.7142857142857142,0.816496580927726
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2022-11-21,2022-11-27,2022,11,47,2.0,2.0,2.0,3.0,2.0,2.25,1.75,0.49999999999999994
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-11-28,2022-12-04,2022,11,48,1.0,2.0,2.0,2.0,1.0,1.75,1.625,0.5
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,5.0,2023-01-16,2023-01-22,2023,1,3,2.0,1.0,2.0,2.0,1.0,1.75,1.75,0.5
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-01-23,2023-01-29,2023,1,4,5.0,2.0,1.0,2.0,1.0,2.5,2.25,1.7320508075688772
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-02-27,2023-03-05,2023,2,9,1.0,5.0,2.0,1.0,3.0,2.25,2.25,1.892969448600091
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2023-03-13,2023-03-19,2023,3,11,1.0,1.0,5.0,2.0,2.0,2.25,2.0,1.892969448600091
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-05-22,2023-05-28,2023,5,21,2.0,1.0,1.0,5.0,2.0,2.25,2.0,1.892969448600091
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,4.0,2023-05-29,2023-06-04,2023,5,22,1.0,2.0,1.0,1.0,2.0,1.25,1.875,0.4999999999999992
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,5.0,2023-07-24,2023-07-30,2023,7,30,4.0,1.0,2.0,1.0,1.0,2.0,2.125,1.414213562373095
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2023-08-07,2023-08-13,2023,8,32,5.0,4.0,1.0,2.0,2.0,3.0,2.625,1.8257418583505534
