CODE_PROD,LIB_PROD,NATURE_CONSOM,QTE_T,week_start,week_end,year,month,week_of_year
08749,SURGIPRO 6-0 3/8 13MM,1.0,3.0,2023-07-31,2023-08-06,2023,7,31
08749,SURGIPRO 6-0 3/8 13MM,1.0,1.0,2023-08-07,2023-08-13,2023,8,32
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,1.0,2023-12-11,2023-12-17,2023,12,50
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,2.0,2023-12-18,2023-12-24,2023,12,51
4AA010118,TEST ANTIGENIQUE COVID 19,0.0,132.0,2024-01-08,2024-01-14,2024,1,2
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,3.0,2024-01-08,2024-01-14,2024,1,2
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,4.0,2024-01-15,2024-01-21,2024,1,3
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,6.0,2024-01-22,2024-01-28,2024,1,4
4AA010118,TEST ANTIGENIQUE COVID 19,1.0,2.0,2024-01-29,2024-02-04,2024,1,5
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2023-05-29,2023-06-04,2023,5,22
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2023-07-24,2023-07-30,2023,7,30
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2023-08-07,2023-08-13,2023,8,32
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2023-11-20,2023-11-26,2023,11,47
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2023-12-04,2023-12-10,2023,12,49
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,4.0,2023-12-11,2023-12-17,2023,12,50
4AA020195,TUBE CONIQUE EN PLASTIQUE 10 ML,1.0,3.0,2024-01-01,2024-01-07,2024,1,1
54446,ECHARPE AVANT BRAS TAILLE L,1.0,1.0,2023-09-04,2023-09-10,2023,9,36
54446,ECHARPE AVANT BRAS TAILLE L,1.0,1.0,2023-10-02,2023-10-08,2023,10,40
54446,ECHARPE AVANT BRAS TAILLE L,1.0,1.0,2023-11-20,2023-11-26,2023,11,47
54789,BOTTE DE MARCHE HAUTE XL,1.0,1.0,2023-10-23,2023-10-29,2023,10,43
556985,BOTTE DE MARCHE HAUTE L,1.0,1.0,2023-09-04,2023-09-10,2023,9,36
558974,BOTTE DE MARCHE HAUTE S,1.0,1.0,2023-11-13,2023-11-19,2023,11,46
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2022-10-31,2022-11-06,2022,10,44
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2022-11-21,2022-11-27,2022,11,47
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-02-20,2023-02-26,2023,2,8
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-07-03,2023-07-09,2023,7,27
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-07-31,2023-08-06,2023,7,31
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-08-21,2023-08-27,2023,8,34
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-09-25,2023-10-01,2023,9,39
55BB130195,POIGNET LIGAFLEX CLASSIC GAUCHE T2,1.0,1.0,2023-11-27,2023-12-03,2023,11,48
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-06-06,2022-06-12,2022,6,23
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-06-20,2022-06-26,2022,6,25
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-07-18,2022-07-24,2022,7,29
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-09-19,2022-09-25,2022,9,38
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,2.0,2022-11-28,2022-12-04,2022,11,48
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-12-05,2022-12-11,2022,12,49
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-12-12,2022-12-18,2022,12,50
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2022-12-19,2022-12-25,2022,12,51
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2023-04-03,2023-04-09,2023,4,14
5AA010029,DOLIPRANE 200 MG SUPP  SUPPOSI (10),1.0,1.0,2023-09-04,2023-09-10,2023,9,36
5AA010030,DOLIPRANE 300 MG SUPP  SUPPOSI (10),1.0,2.0,2022-06-06,2022-06-12,2022,6,23
5AA010030,DOLIPRANE 300 MG SUPP  SUPPOSI (10),1.0,1.0,2022-10-10,2022-10-16,2022,10,41
5AA010030,DOLIPRANE 300 MG SUPP  SUPPOSI (10),1.0,1.0,2023-07-24,2023-07-30,2023,7,30
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,1.0,2022-06-13,2022-06-19,2022,6,24
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),0.0,2.0,2022-08-29,2022-09-04,2022,8,35
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,2.0,2022-08-29,2022-09-04,2022,8,35
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,1.0,2022-12-05,2022-12-11,2022,12,49
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,1.0,2023-01-02,2023-01-08,2023,1,1
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,2.0,2023-04-10,2023-04-16,2023,4,15
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,1.0,2023-05-22,2023-05-28,2023,5,21
5AA010032,DOLIPRANE 100 MG BOÎT  SUPPOSI (10),1.0,1.0,2024-01-01,2024-01-07,2024,1,1
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2022-06-06,2022-06-12,2022,6,23
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2022-06-13,2022-06-19,2022,6,24
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2022-11-14,2022-11-20,2022,11,46
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2022-11-21,2022-11-27,2022,11,47
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,2.0,2023-03-27,2023-04-02,2023,3,13
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2023-10-23,2023-10-29,2023,10,43
5AA010033,DOLIPRANE 150 MG SUPP  SUPPOSI (10),1.0,1.0,2023-11-06,2023-11-12,2023,11,45
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-06-13,2022-06-19,2022,6,24
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2022-06-27,2022-07-03,2022,6,26
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2022-08-01,2022-08-07,2022,8,31
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2022-08-22,2022-08-28,2022,8,34
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,3.0,2022-09-12,2022-09-18,2022,9,37
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-10-24,2022-10-30,2022,10,43
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-10-31,2022-11-06,2022,10,44
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-11-14,2022-11-20,2022,11,46
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2022-11-21,2022-11-27,2022,11,47
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2022-11-28,2022-12-04,2022,11,48
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,5.0,2023-01-16,2023-01-22,2023,1,3
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-01-23,2023-01-29,2023,1,4
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-02-27,2023-03-05,2023,2,9
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2023-03-13,2023-03-19,2023,3,11
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-05-22,2023-05-28,2023,5,21
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,4.0,2023-05-29,2023-06-04,2023,5,22
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,5.0,2023-07-24,2023-07-30,2023,7,30
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,2.0,2023-08-07,2023-08-13,2023,8,32
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-14,2023-08-20,2023,8,33
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-21,2023-08-27,2023,8,34
5AA010037,ROCURONIUM SP PH 50MG 50MG INJECTA (10),1.0,1.0,2023-08-28,2023-09-03,2023,8,35
